iter	Passed	Remaining
0	2	202
1	4	208
2	6	210
3	7	189
4	9	178
5	10	169
6	12	167
7	14	163
8	16	164
9	18	162
10	20	165
11	22	164
12	23	159
13	25	158
14	27	156
15	30	159
16	35	173
17	37	170
18	39	167
19	41	165
20	43	162
21	45	161
22	48	161
23	50	160
24	54	163
25	56	161
26	62	170
27	64	166
28	66	163
29	69	162
30	71	159
31	76	161
32	78	158
33	80	156
34	82	152
35	83	148
36	85	144
37	87	142
38	89	139
39	91	137
40	93	134
41	93	129
42	95	126
43	96	122
44	100	123
45	102	120
46	104	117
47	106	115
48	108	112
49	109	109
50	111	107
51	114	105
52	116	102
53	117	100
54	119	97
55	120	94
56	122	92
57	124	90
58	126	88
59	128	85
60	130	83
61	131	80
62	133	78
63	134	75
64	136	73
65	139	71
66	142	69
67	144	67
68	145	65
69	147	63
70	148	60
71	150	58
72	154	57
73	156	54
74	158	52
75	159	50
76	161	48
77	163	46
78	165	43
79	167	41
80	169	39
81	171	37
82	173	35
83	175	33
84	177	31
85	179	29
86	182	27
87	183	25
88	185	22
89	187	20
90	188	18
91	190	16
92	192	14
93	194	12
94	197	10
95	199	8
96	201	6
97	203	4
98	204	2
99	207	0
